observed_date,rank,licensee,assignment_count
2025-11-07,1,ONE NEW ZEALAND GROUP LIMITED,10643
2025-11-07,2,SPARK NEW ZEALAND TRADING LIMITED,9840
2025-11-07,3,TWO DEGREES NETWORKS LIMITED,8745
2025-11-07,4,CHORUS NEW ZEALAND LIMITED,3601
2025-11-07,5,EONFIBRE LIMITED,2028
2025-11-07,6,VITAL LIMITED,1985
2025-11-07,7,KIWIRAIL,1823
2025-11-07,8,KORDIA LIMITED,1515
2025-11-07,9,RURAL CONNECTIVITY GROUP LIMITED,1396
2025-11-07,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-11-07,11,ENTAIN NEW ZEALAND LIMITED,657
2025-11-07,12,LIGHTWIRE LIMITED,610
2025-11-07,13,NZME RADIO LIMITED,594
2025-11-07,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,592
2025-11-07,15,POWERCO LIMITED,590
2025-11-07,16,EVERY PERSON,574
2025-11-07,17,ISO LIMITED,552
2025-11-07,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-11-07,19,KIWIRAIL LTD,533
2025-11-07,20,SPACE OPERATIONS NEW ZEALAND LIMITED,508
2025-11-07,21,MEDIAWORKS RADIO LIMITED,490
2025-11-07,22,DEPARTMENT OF CONSERVATION,464
2025-11-07,23,Fire and Emergency New Zealand,457
2025-11-07,24,TAIT SYSTEMS NZ LIMITED,433
2025-11-07,25,ASHLEY COMMUNICATIONS LIMITED,432
2025-11-11,1,ONE NEW ZEALAND GROUP LIMITED,10643
2025-11-11,2,SPARK NEW ZEALAND TRADING LIMITED,9871
2025-11-11,3,TWO DEGREES NETWORKS LIMITED,8771
2025-11-11,4,CHORUS NEW ZEALAND LIMITED,3601
2025-11-11,5,EONFIBRE LIMITED,2028
2025-11-11,6,VITAL LIMITED,1985
2025-11-11,7,KIWIRAIL,1823
2025-11-11,8,KORDIA LIMITED,1515
2025-11-11,9,RURAL CONNECTIVITY GROUP LIMITED,1396
2025-11-11,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-11-11,11,ENTAIN NEW ZEALAND LIMITED,657
2025-11-11,12,LIGHTWIRE LIMITED,610
2025-11-11,13,NZME RADIO LIMITED,594
2025-11-11,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,592
2025-11-11,15,POWERCO LIMITED,590
2025-11-11,16,EVERY PERSON,574
2025-11-11,17,ISO LIMITED,552
2025-11-11,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-11-11,19,KIWIRAIL LTD,533
2025-11-11,20,SPACE OPERATIONS NEW ZEALAND LIMITED,508
2025-11-11,21,MEDIAWORKS RADIO LIMITED,490
2025-11-11,22,DEPARTMENT OF CONSERVATION,464
2025-11-11,23,Fire and Emergency New Zealand,456
2025-11-11,24,TAIT SYSTEMS NZ LIMITED,433
2025-11-11,25,ASHLEY COMMUNICATIONS LIMITED,432
2025-11-13,1,ONE NEW ZEALAND GROUP LIMITED,10643
2025-11-13,2,SPARK NEW ZEALAND TRADING LIMITED,9882
2025-11-13,3,TWO DEGREES NETWORKS LIMITED,8771
2025-11-13,4,CHORUS NEW ZEALAND LIMITED,3601
2025-11-13,5,EONFIBRE LIMITED,2028
2025-11-13,6,VITAL LIMITED,1985
2025-11-13,7,KIWIRAIL,1823
2025-11-13,8,KORDIA LIMITED,1515
2025-11-13,9,RURAL CONNECTIVITY GROUP LIMITED,1396
2025-11-13,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-11-13,11,ENTAIN NEW ZEALAND LIMITED,657
2025-11-13,12,LIGHTWIRE LIMITED,610
2025-11-13,13,NZME RADIO LIMITED,594
2025-11-13,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,592
2025-11-13,15,POWERCO LIMITED,590
2025-11-13,16,EVERY PERSON,574
2025-11-13,17,ISO LIMITED,552
2025-11-13,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-11-13,19,KIWIRAIL LTD,533
2025-11-13,20,SPACE OPERATIONS NEW ZEALAND LIMITED,508
2025-11-13,21,MEDIAWORKS RADIO LIMITED,490
2025-11-13,22,DEPARTMENT OF CONSERVATION,464
2025-11-13,23,Fire and Emergency New Zealand,456
2025-11-13,24,TAIT SYSTEMS NZ LIMITED,433
2025-11-13,25,ASHLEY COMMUNICATIONS LIMITED,432
2025-11-14,1,ONE NEW ZEALAND GROUP LIMITED,10643
2025-11-14,2,SPARK NEW ZEALAND TRADING LIMITED,9877
2025-11-14,3,TWO DEGREES NETWORKS LIMITED,8771
2025-11-14,4,CHORUS NEW ZEALAND LIMITED,3601
2025-11-14,5,EONFIBRE LIMITED,2028
2025-11-14,6,VITAL LIMITED,1985
2025-11-14,7,KIWIRAIL,1823
2025-11-14,8,KORDIA LIMITED,1515
2025-11-14,9,RURAL CONNECTIVITY GROUP LIMITED,1396
2025-11-14,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-11-14,11,ENTAIN NEW ZEALAND LIMITED,657
2025-11-14,12,LIGHTWIRE LIMITED,610
2025-11-14,13,NZME RADIO LIMITED,594
2025-11-14,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,592
2025-11-14,15,POWERCO LIMITED,590
2025-11-14,16,EVERY PERSON,574
2025-11-14,17,ISO LIMITED,552
2025-11-14,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-11-14,19,KIWIRAIL LTD,533
2025-11-14,20,SPACE OPERATIONS NEW ZEALAND LIMITED,508
2025-11-14,21,MEDIAWORKS RADIO LIMITED,490
2025-11-14,22,DEPARTMENT OF CONSERVATION,464
2025-11-14,23,Fire and Emergency New Zealand,456
2025-11-14,24,TAIT SYSTEMS NZ LIMITED,433
2025-11-14,25,ASHLEY COMMUNICATIONS LIMITED,432
2025-11-17,1,ONE NEW ZEALAND GROUP LIMITED,10643
2025-11-17,2,SPARK NEW ZEALAND TRADING LIMITED,9879
2025-11-17,3,TWO DEGREES NETWORKS LIMITED,8771
2025-11-17,4,CHORUS NEW ZEALAND LIMITED,3601
2025-11-17,5,EONFIBRE LIMITED,2028
2025-11-17,6,VITAL LIMITED,1985
2025-11-17,7,KIWIRAIL,1823
2025-11-17,8,KORDIA LIMITED,1515
2025-11-17,9,RURAL CONNECTIVITY GROUP LIMITED,1396
2025-11-17,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-11-17,11,ENTAIN NEW ZEALAND LIMITED,657
2025-11-17,12,LIGHTWIRE LIMITED,610
2025-11-17,13,NZME RADIO LIMITED,594
2025-11-17,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,592
2025-11-17,15,POWERCO LIMITED,590
2025-11-17,16,EVERY PERSON,574
2025-11-17,17,ISO LIMITED,552
2025-11-17,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-11-17,19,KIWIRAIL LTD,533
2025-11-17,20,SPACE OPERATIONS NEW ZEALAND LIMITED,529
2025-11-17,21,MEDIAWORKS RADIO LIMITED,490
2025-11-17,22,DEPARTMENT OF CONSERVATION,464
2025-11-17,23,Fire and Emergency New Zealand,456
2025-11-17,24,TAIT SYSTEMS NZ LIMITED,433
2025-11-17,25,ASHLEY COMMUNICATIONS LIMITED,432
2025-11-18,1,ONE NEW ZEALAND GROUP LIMITED,10651
2025-11-18,2,SPARK NEW ZEALAND TRADING LIMITED,9887
2025-11-18,3,TWO DEGREES NETWORKS LIMITED,8776
2025-11-18,4,CHORUS NEW ZEALAND LIMITED,3601
2025-11-18,5,EONFIBRE LIMITED,2028
2025-11-18,6,VITAL LIMITED,1985
2025-11-18,7,KIWIRAIL,1823
2025-11-18,8,KORDIA LIMITED,1515
2025-11-18,9,RURAL CONNECTIVITY GROUP LIMITED,1396
2025-11-18,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-11-18,11,ENTAIN NEW ZEALAND LIMITED,657
2025-11-18,12,LIGHTWIRE LIMITED,610
2025-11-18,13,NZME RADIO LIMITED,594
2025-11-18,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,593
2025-11-18,15,POWERCO LIMITED,590
2025-11-18,16,EVERY PERSON,574
2025-11-18,17,ISO LIMITED,552
2025-11-18,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-11-18,19,KIWIRAIL LTD,533
2025-11-18,20,SPACE OPERATIONS NEW ZEALAND LIMITED,529
2025-11-18,21,MEDIAWORKS RADIO LIMITED,490
2025-11-18,22,DEPARTMENT OF CONSERVATION,464
2025-11-18,23,Fire and Emergency New Zealand,458
2025-11-18,24,TAIT SYSTEMS NZ LIMITED,433
2025-11-18,25,ASHLEY COMMUNICATIONS LIMITED,432
2025-11-20,1,ONE NEW ZEALAND GROUP LIMITED,10651
2025-11-20,2,SPARK NEW ZEALAND TRADING LIMITED,9891
2025-11-20,3,TWO DEGREES NETWORKS LIMITED,8784
2025-11-20,4,CHORUS NEW ZEALAND LIMITED,3601
2025-11-20,5,EONFIBRE LIMITED,2028
2025-11-20,6,VITAL LIMITED,1985
2025-11-20,7,KIWIRAIL,1823
2025-11-20,8,KORDIA LIMITED,1515
2025-11-20,9,RURAL CONNECTIVITY GROUP LIMITED,1396
2025-11-20,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-11-20,11,ENTAIN NEW ZEALAND LIMITED,657
2025-11-20,12,LIGHTWIRE LIMITED,610
2025-11-20,13,NZME RADIO LIMITED,594
2025-11-20,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,593
2025-11-20,15,POWERCO LIMITED,590
2025-11-20,16,EVERY PERSON,574
2025-11-20,17,ISO LIMITED,552
2025-11-20,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-11-20,19,KIWIRAIL LTD,533
2025-11-20,20,SPACE OPERATIONS NEW ZEALAND LIMITED,529
2025-11-20,21,MEDIAWORKS RADIO LIMITED,490
2025-11-20,22,DEPARTMENT OF CONSERVATION,464
2025-11-20,23,Fire and Emergency New Zealand,458
2025-11-20,24,TAIT SYSTEMS NZ LIMITED,433
2025-11-20,25,ASHLEY COMMUNICATIONS LIMITED,432
2025-11-21,1,ONE NEW ZEALAND GROUP LIMITED,10651
2025-11-21,2,SPARK NEW ZEALAND TRADING LIMITED,9891
2025-11-21,3,TWO DEGREES NETWORKS LIMITED,8784
2025-11-21,4,CHORUS NEW ZEALAND LIMITED,3601
2025-11-21,5,EONFIBRE LIMITED,2028
2025-11-21,6,VITAL LIMITED,1985
2025-11-21,7,KIWIRAIL,1823
2025-11-21,8,KORDIA LIMITED,1515
2025-11-21,9,RURAL CONNECTIVITY GROUP LIMITED,1396
2025-11-21,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-11-21,11,ENTAIN NEW ZEALAND LIMITED,657
2025-11-21,12,LIGHTWIRE LIMITED,610
2025-11-21,13,NZME RADIO LIMITED,594
2025-11-21,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,593
2025-11-21,15,POWERCO LIMITED,590
2025-11-21,16,EVERY PERSON,574
2025-11-21,17,ISO LIMITED,552
2025-11-21,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-11-21,19,KIWIRAIL LTD,533
2025-11-21,20,SPACE OPERATIONS NEW ZEALAND LIMITED,532
2025-11-21,21,MEDIAWORKS RADIO LIMITED,490
2025-11-21,22,DEPARTMENT OF CONSERVATION,464
2025-11-21,23,Fire and Emergency New Zealand,458
2025-11-21,24,TAIT SYSTEMS NZ LIMITED,433
2025-11-21,25,ASHLEY COMMUNICATIONS LIMITED,432
2025-11-22,1,ONE NEW ZEALAND GROUP LIMITED,10651
2025-11-22,2,SPARK NEW ZEALAND TRADING LIMITED,9891
2025-11-22,3,TWO DEGREES NETWORKS LIMITED,8784
2025-11-22,4,CHORUS NEW ZEALAND LIMITED,3601
2025-11-22,5,EONFIBRE LIMITED,2028
2025-11-22,6,VITAL LIMITED,1985
2025-11-22,7,KIWIRAIL,1823
2025-11-22,8,KORDIA LIMITED,1515
2025-11-22,9,RURAL CONNECTIVITY GROUP LIMITED,1396
2025-11-22,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-11-22,11,ENTAIN NEW ZEALAND LIMITED,657
2025-11-22,12,LIGHTWIRE LIMITED,606
2025-11-22,13,NZME RADIO LIMITED,594
2025-11-22,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,593
2025-11-22,15,POWERCO LIMITED,590
2025-11-22,16,EVERY PERSON,574
2025-11-22,17,ISO LIMITED,552
2025-11-22,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-11-22,19,KIWIRAIL LTD,533
2025-11-22,20,SPACE OPERATIONS NEW ZEALAND LIMITED,532
2025-11-22,21,MEDIAWORKS RADIO LIMITED,490
2025-11-22,22,DEPARTMENT OF CONSERVATION,464
2025-11-22,23,Fire and Emergency New Zealand,458
2025-11-22,24,TAIT SYSTEMS NZ LIMITED,433
2025-11-22,25,ASHLEY COMMUNICATIONS LIMITED,432
2025-11-23,1,ONE NEW ZEALAND GROUP LIMITED,10651
2025-11-23,2,SPARK NEW ZEALAND TRADING LIMITED,9891
2025-11-23,3,TWO DEGREES NETWORKS LIMITED,8748
2025-11-23,4,CHORUS NEW ZEALAND LIMITED,3601
2025-11-23,5,EONFIBRE LIMITED,2028
2025-11-23,6,VITAL LIMITED,1985
2025-11-23,7,KIWIRAIL,1823
2025-11-23,8,KORDIA LIMITED,1515
2025-11-23,9,RURAL CONNECTIVITY GROUP LIMITED,1396
2025-11-23,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-11-23,11,ENTAIN NEW ZEALAND LIMITED,657
2025-11-23,12,LIGHTWIRE LIMITED,606
2025-11-23,13,NZME RADIO LIMITED,594
2025-11-23,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,593
2025-11-23,15,POWERCO LIMITED,590
2025-11-23,16,EVERY PERSON,574
2025-11-23,17,ISO LIMITED,552
2025-11-23,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-11-23,19,KIWIRAIL LTD,533
2025-11-23,20,SPACE OPERATIONS NEW ZEALAND LIMITED,532
2025-11-23,21,MEDIAWORKS RADIO LIMITED,490
2025-11-23,22,DEPARTMENT OF CONSERVATION,464
2025-11-23,23,Fire and Emergency New Zealand,458
2025-11-23,24,TAIT SYSTEMS NZ LIMITED,433
2025-11-23,25,ASHLEY COMMUNICATIONS LIMITED,433
2025-11-24,1,ONE NEW ZEALAND GROUP LIMITED,10651
2025-11-24,2,SPARK NEW ZEALAND TRADING LIMITED,9895
2025-11-24,3,TWO DEGREES NETWORKS LIMITED,8737
2025-11-24,4,CHORUS NEW ZEALAND LIMITED,3601
2025-11-24,5,EONFIBRE LIMITED,2034
2025-11-24,6,VITAL LIMITED,1985
2025-11-24,7,KIWIRAIL,1823
2025-11-24,8,KORDIA LIMITED,1515
2025-11-24,9,RURAL CONNECTIVITY GROUP LIMITED,1396
2025-11-24,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-11-24,11,ENTAIN NEW ZEALAND LIMITED,657
2025-11-24,12,LIGHTWIRE LIMITED,606
2025-11-24,13,NZME RADIO LIMITED,594
2025-11-24,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,593
2025-11-24,15,POWERCO LIMITED,590
2025-11-24,16,EVERY PERSON,574
2025-11-24,17,ISO LIMITED,552
2025-11-24,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-11-24,19,KIWIRAIL LTD,533
2025-11-24,20,SPACE OPERATIONS NEW ZEALAND LIMITED,532
2025-11-24,21,MEDIAWORKS RADIO LIMITED,490
2025-11-24,22,DEPARTMENT OF CONSERVATION,464
2025-11-24,23,Fire and Emergency New Zealand,458
2025-11-24,24,TAIT SYSTEMS NZ LIMITED,433
2025-11-24,25,ASHLEY COMMUNICATIONS LIMITED,433
2025-11-26,1,ONE NEW ZEALAND GROUP LIMITED,10651
2025-11-26,2,SPARK NEW ZEALAND TRADING LIMITED,9895
2025-11-26,3,TWO DEGREES NETWORKS LIMITED,8737
2025-11-26,4,CHORUS NEW ZEALAND LIMITED,3601
2025-11-26,5,EONFIBRE LIMITED,2034
2025-11-26,6,VITAL LIMITED,1985
2025-11-26,7,KIWIRAIL,1823
2025-11-26,8,KORDIA LIMITED,1515
2025-11-26,9,RURAL CONNECTIVITY GROUP LIMITED,1396
2025-11-26,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-11-26,11,ENTAIN NEW ZEALAND LIMITED,657
2025-11-26,12,LIGHTWIRE LIMITED,608
2025-11-26,13,NZME RADIO LIMITED,594
2025-11-26,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,593
2025-11-26,15,POWERCO LIMITED,590
2025-11-26,16,EVERY PERSON,574
2025-11-26,17,ISO LIMITED,552
2025-11-26,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-11-26,19,KIWIRAIL LTD,533
2025-11-26,20,SPACE OPERATIONS NEW ZEALAND LIMITED,532
2025-11-26,21,MEDIAWORKS RADIO LIMITED,490
2025-11-26,22,DEPARTMENT OF CONSERVATION,464
2025-11-26,23,Fire and Emergency New Zealand,458
2025-11-26,24,TAIT SYSTEMS NZ LIMITED,433
2025-11-26,25,ASHLEY COMMUNICATIONS LIMITED,433
2025-11-27,1,ONE NEW ZEALAND GROUP LIMITED,10659
2025-11-27,2,SPARK NEW ZEALAND TRADING LIMITED,9895
2025-11-27,3,TWO DEGREES NETWORKS LIMITED,8737
2025-11-27,4,CHORUS NEW ZEALAND LIMITED,3601
2025-11-27,5,EONFIBRE LIMITED,2034
2025-11-27,6,VITAL LIMITED,1985
2025-11-27,7,KIWIRAIL,1823
2025-11-27,8,KORDIA LIMITED,1515
2025-11-27,9,RURAL CONNECTIVITY GROUP LIMITED,1396
2025-11-27,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-11-27,11,ENTAIN NEW ZEALAND LIMITED,657
2025-11-27,12,LIGHTWIRE LIMITED,608
2025-11-27,13,NZME RADIO LIMITED,594
2025-11-27,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,593
2025-11-27,15,POWERCO LIMITED,590
2025-11-27,16,EVERY PERSON,574
2025-11-27,17,ISO LIMITED,552
2025-11-27,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-11-27,19,KIWIRAIL LTD,533
2025-11-27,20,SPACE OPERATIONS NEW ZEALAND LIMITED,532
2025-11-27,21,MEDIAWORKS RADIO LIMITED,490
2025-11-27,22,DEPARTMENT OF CONSERVATION,464
2025-11-27,23,Fire and Emergency New Zealand,458
2025-11-27,24,TAIT SYSTEMS NZ LIMITED,433
2025-11-27,25,ASHLEY COMMUNICATIONS LIMITED,433
2025-11-28,1,ONE NEW ZEALAND GROUP LIMITED,10659
2025-11-28,2,SPARK NEW ZEALAND TRADING LIMITED,9895
2025-11-28,3,TWO DEGREES NETWORKS LIMITED,8733
2025-11-28,4,CHORUS NEW ZEALAND LIMITED,3601
2025-11-28,5,EONFIBRE LIMITED,2034
2025-11-28,6,VITAL LIMITED,1985
2025-11-28,7,KIWIRAIL,1823
2025-11-28,8,KORDIA LIMITED,1515
2025-11-28,9,RURAL CONNECTIVITY GROUP LIMITED,1396
2025-11-28,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-11-28,11,ENTAIN NEW ZEALAND LIMITED,657
2025-11-28,12,LIGHTWIRE LIMITED,608
2025-11-28,13,NZME RADIO LIMITED,594
2025-11-28,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,593
2025-11-28,15,POWERCO LIMITED,590
2025-11-28,16,EVERY PERSON,574
2025-11-28,17,ISO LIMITED,552
2025-11-28,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-11-28,19,KIWIRAIL LTD,533
2025-11-28,20,SPACE OPERATIONS NEW ZEALAND LIMITED,532
2025-11-28,21,MEDIAWORKS RADIO LIMITED,490
2025-11-28,22,DEPARTMENT OF CONSERVATION,464
2025-11-28,23,Fire and Emergency New Zealand,458
2025-11-28,24,TAIT SYSTEMS NZ LIMITED,433
2025-11-28,25,ASHLEY COMMUNICATIONS LIMITED,433
2025-12-03,1,ONE NEW ZEALAND GROUP LIMITED,10659
2025-12-03,2,SPARK NEW ZEALAND TRADING LIMITED,9911
2025-12-03,3,TWO DEGREES NETWORKS LIMITED,8750
2025-12-03,4,CHORUS NEW ZEALAND LIMITED,3601
2025-12-03,5,EONFIBRE LIMITED,2034
2025-12-03,6,VITAL LIMITED,1985
2025-12-03,7,KIWIRAIL,1823
2025-12-03,8,KORDIA LIMITED,1515
2025-12-03,9,RURAL CONNECTIVITY GROUP LIMITED,1404
2025-12-03,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-12-03,11,ENTAIN NEW ZEALAND LIMITED,657
2025-12-03,12,LIGHTWIRE LIMITED,608
2025-12-03,13,NZME RADIO LIMITED,594
2025-12-03,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,593
2025-12-03,15,POWERCO LIMITED,590
2025-12-03,16,EVERY PERSON,574
2025-12-03,17,ISO LIMITED,552
2025-12-03,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-12-03,19,KIWIRAIL LTD,533
2025-12-03,20,SPACE OPERATIONS NEW ZEALAND LIMITED,532
2025-12-03,21,MEDIAWORKS RADIO LIMITED,490
2025-12-03,22,DEPARTMENT OF CONSERVATION,464
2025-12-03,23,Fire and Emergency New Zealand,458
2025-12-03,24,TAIT SYSTEMS NZ LIMITED,433
2025-12-03,25,ASHLEY COMMUNICATIONS LIMITED,433
2025-12-04,1,ONE NEW ZEALAND GROUP LIMITED,10659
2025-12-04,2,SPARK NEW ZEALAND TRADING LIMITED,9929
2025-12-04,3,TWO DEGREES NETWORKS LIMITED,8750
2025-12-04,4,CHORUS NEW ZEALAND LIMITED,3601
2025-12-04,5,EONFIBRE LIMITED,2034
2025-12-04,6,VITAL LIMITED,1985
2025-12-04,7,KIWIRAIL,1823
2025-12-04,8,KORDIA LIMITED,1515
2025-12-04,9,RURAL CONNECTIVITY GROUP LIMITED,1404
2025-12-04,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-12-04,11,ENTAIN NEW ZEALAND LIMITED,657
2025-12-04,12,LIGHTWIRE LIMITED,608
2025-12-04,13,NZME RADIO LIMITED,594
2025-12-04,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,593
2025-12-04,15,POWERCO LIMITED,590
2025-12-04,16,EVERY PERSON,574
2025-12-04,17,ISO LIMITED,552
2025-12-04,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-12-04,19,KIWIRAIL LTD,533
2025-12-04,20,SPACE OPERATIONS NEW ZEALAND LIMITED,532
2025-12-04,21,MEDIAWORKS RADIO LIMITED,490
2025-12-04,22,DEPARTMENT OF CONSERVATION,464
2025-12-04,23,Fire and Emergency New Zealand,458
2025-12-04,24,TAIT SYSTEMS NZ LIMITED,433
2025-12-04,25,ASHLEY COMMUNICATIONS LIMITED,433
2025-12-08,1,ONE NEW ZEALAND GROUP LIMITED,10659
2025-12-08,2,SPARK NEW ZEALAND TRADING LIMITED,9937
2025-12-08,3,TWO DEGREES NETWORKS LIMITED,8771
2025-12-08,4,CHORUS NEW ZEALAND LIMITED,3599
2025-12-08,5,EONFIBRE LIMITED,2034
2025-12-08,6,VITAL LIMITED,1985
2025-12-08,7,KIWIRAIL,1823
2025-12-08,8,KORDIA LIMITED,1515
2025-12-08,9,RURAL CONNECTIVITY GROUP LIMITED,1404
2025-12-08,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-12-08,11,ENTAIN NEW ZEALAND LIMITED,657
2025-12-08,12,LIGHTWIRE LIMITED,608
2025-12-08,13,NZME RADIO LIMITED,594
2025-12-08,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,591
2025-12-08,15,POWERCO LIMITED,590
2025-12-08,16,EVERY PERSON,574
2025-12-08,17,ISO LIMITED,552
2025-12-08,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-12-08,19,KIWIRAIL LTD,533
2025-12-08,20,SPACE OPERATIONS NEW ZEALAND LIMITED,532
2025-12-08,21,MEDIAWORKS RADIO LIMITED,490
2025-12-08,22,DEPARTMENT OF CONSERVATION,464
2025-12-08,23,Fire and Emergency New Zealand,458
2025-12-08,24,TAIT SYSTEMS NZ LIMITED,433
2025-12-08,25,ASHLEY COMMUNICATIONS LIMITED,433
2025-12-11,1,ONE NEW ZEALAND GROUP LIMITED,10674
2025-12-11,2,SPARK NEW ZEALAND TRADING LIMITED,9956
2025-12-11,3,TWO DEGREES NETWORKS LIMITED,8771
2025-12-11,4,CHORUS NEW ZEALAND LIMITED,3599
2025-12-11,5,EONFIBRE LIMITED,2034
2025-12-11,6,VITAL LIMITED,1985
2025-12-11,7,KIWIRAIL,1823
2025-12-11,8,KORDIA LIMITED,1515
2025-12-11,9,RURAL CONNECTIVITY GROUP LIMITED,1404
2025-12-11,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-12-11,11,ENTAIN NEW ZEALAND LIMITED,657
2025-12-11,12,LIGHTWIRE LIMITED,608
2025-12-11,13,NZME RADIO LIMITED,594
2025-12-11,14,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,591
2025-12-11,15,POWERCO LIMITED,590
2025-12-11,16,EVERY PERSON,574
2025-12-11,17,ISO LIMITED,552
2025-12-11,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-12-11,19,KIWIRAIL LTD,533
2025-12-11,20,SPACE OPERATIONS NEW ZEALAND LIMITED,532
2025-12-11,21,MEDIAWORKS RADIO LIMITED,490
2025-12-11,22,DEPARTMENT OF CONSERVATION,464
2025-12-11,23,Fire and Emergency New Zealand,458
2025-12-11,24,TAIT SYSTEMS NZ LIMITED,433
2025-12-11,25,ASHLEY COMMUNICATIONS LIMITED,433
2025-12-15,1,ONE NEW ZEALAND GROUP LIMITED,10674
2025-12-15,2,SPARK NEW ZEALAND TRADING LIMITED,9956
2025-12-15,3,TWO DEGREES NETWORKS LIMITED,8771
2025-12-15,4,CHORUS NEW ZEALAND LIMITED,3599
2025-12-15,5,EONFIBRE LIMITED,2034
2025-12-15,6,VITAL LIMITED,1985
2025-12-15,7,KIWIRAIL,1823
2025-12-15,8,KORDIA LIMITED,1515
2025-12-15,9,RURAL CONNECTIVITY GROUP LIMITED,1404
2025-12-15,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-12-15,11,ENTAIN NEW ZEALAND LIMITED,657
2025-12-15,12,SPACE OPERATIONS NEW ZEALAND LIMITED,608
2025-12-15,13,LIGHTWIRE LIMITED,608
2025-12-15,14,NZME RADIO LIMITED,594
2025-12-15,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,591
2025-12-15,16,POWERCO LIMITED,590
2025-12-15,17,EVERY PERSON,574
2025-12-15,18,ISO LIMITED,552
2025-12-15,19,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-12-15,20,KIWIRAIL LTD,533
2025-12-15,21,MEDIAWORKS RADIO LIMITED,490
2025-12-15,22,DEPARTMENT OF CONSERVATION,464
2025-12-15,23,Fire and Emergency New Zealand,458
2025-12-15,24,TAIT SYSTEMS NZ LIMITED,433
2025-12-15,25,ASHLEY COMMUNICATIONS LIMITED,433
2025-12-17,1,ONE NEW ZEALAND GROUP LIMITED,10676
2025-12-17,2,SPARK NEW ZEALAND TRADING LIMITED,9987
2025-12-17,3,TWO DEGREES NETWORKS LIMITED,8792
2025-12-17,4,CHORUS NEW ZEALAND LIMITED,3599
2025-12-17,5,EONFIBRE LIMITED,2034
2025-12-17,6,VITAL LIMITED,1985
